concept_name,score
Anisocytosis [Presence] in Blood by Light microscopy,13.54
Complication occurring during pregnancy,13.53
CD3-CD16+CD56+ (Natural killer) cells/100 cells in Blood,13.51
iodixanol,13.51
soybean oil 200 MG/ML Injectable Suspension,13.42
Insertion of non-tunneled centrally inserted central venous catheter; younger than 5 years of age,13.36
Methotrexate [Moles/volume] in Serum or Plasma,13.36
Health status,13.36
Second trimester pregnancy,13.32
mercaptopurine,13.27
calcium carbonate 250 MG/ML Oral Suspension,13.25
Preoperative state,13.23
Complication associated with device,13.19
"Health behavior intervention, family (with the patient present), face-to-face; each additional 15 minutes (List separately in addition to code for primary service)",13.19
Neutropenia due to and following chemotherapy,13.15
Anemia of chronic disease,13.13
phenylephrine hydrochloride 10 MG/ML Injectable Solution,13.13
Duplex scan of extremity veins including responses to compression and other maneuvers; unilateral or limited study,13.13
Preoperative procedure,13.13
"Carbon dioxide, total [Moles/volume] in Blood by calculation",13.09
"Insertion of peripherally inserted central venous catheter (PICC), without subcutaneous port or pump, including all imaging guidance, image documentation, and all associated radiological supervision and interpretation required to perform the insertion; age 5 years or older",13.08
Lactate dehydrogenase 1 [Enzymatic activity/volume] in Serum or Plasma,13.08
Infection of gastrostomy site,13.08
Opioid dependence,13.08
"Insertion of Totally Implantable Vascular Access Device into Chest Subcutaneous Tissue and Fascia, Open Approach",13.04
"Gestation period, 27 weeks",12.99
Diagnostic bone marrow; biopsy(ies),12.99
"Electroencephalogram with video (VEEG), review of data, technical description by EEG technologist, each increment of 12-26 hours; with continuous, real-time monitoring and maintenance",12.99
Topiramate [Mass/volume] in Serum or Plasma,12.99
methadone,12.99
"Fluoroscopy of Superior Vena Cava using Low Osmolar Contrast, Guidance",12.90
"Electroencephalogram with video (VEEG), review of data, technical description by EEG technologist, each increment of 12-26 hours; with intermittent monitoring and maintenance",12.90
50 ML glucose 500 MG/ML Injection,12.90
10 ML selenious acid 0.0654 MG/ML Injection,12.90
"Transfusion, blood or blood components",12.89
gadoterate meglumine,12.83
Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,12.82
lorazepam 2 MG/ML Injectable Solution [Ativan],12.79
hydrocortisone 100 MG Injection,12.74
"Chemotherapy administration; intravenous, push technique, single or initial substance/drug",12.70
Patient immunocompromised,12.70
Chronic hypoxemic respiratory failure,12.70
polyethylene glycol 3350 236000 MG / potassium chloride 2970 MG / sodium bicarbonate 6740 MG / sodium chloride 5860 MG / sodium sulfate 22740 MG Powder for Oral Solution,12.70
phenol 14 MG/ML Mucosal Spray,12.64
"Insertion of Infusion Device into Right Atrium, Percutaneous Approach",12.62
cefepime 2000 MG Injection,12.57
"Injection procedure during cardiac catheterization including imaging supervision, interpretation, and report; for pulmonary angiography (List separately in addition to code for primary procedure)",12.47
"Gastric emptying imaging study (eg, solid, liquid, or both)",12.47
Macrocytes [Presence] in Blood by Light microscopy,12.47
ampicillin 1000 MG Injection,12.47
"Magnetic resonance (eg, proton) imaging, spinal canal and contents, without contrast material, followed by contrast material(s) and further sequences; thoracic",12.37
HIV 1+2 Ab+HIV1 p24 Ag [Presence] in Serum or Plasma by Immunoassay,12.35
Primary malignant neoplasm of brain,12.34
Band form neutrophils [Presence] in Blood by Automated count,12.33
Insertion of non-tunneled centrally inserted central venous catheter; age 5 years or older,12.31
cefepime,12.30
CLABSI - central line associated bloodstream infection,12.28
Embolism from thrombosis of vein of lower extremity,12.28
"Irradiation of blood product, each unit",12.24
"Gestation period, 37 weeks",12.23
"Introduction of Other Antineoplastic into Spinal Canal, Percutaneous Approach",12.22
Bacterial infection due to Pseudomonas,12.17
Drug-induced constipation,12.16
Ultrasonography of Pediatric Heart,12.13
Pericardial effusion - noninflammatory,12.09
Myoneural disorder,12.07
"Magnetic resonance (eg, proton) imaging, spinal canal and contents, without contrast material, followed by contrast material(s) and further sequences; lumbar",12.03
"Disease of the respiratory system complicating pregnancy, childbirth and/or the puerperium",11.99
Imaging of gastrointestinal tract abnormal,11.99
"Ultrasonography of Superior Vena Cava, Guidance",11.99
"Insertion of Feeding Device into Stomach, Percutaneous Approach",11.99
isradipine,11.99
Malfunction of gastrostomy tube,11.97
Neoplasm of uncertain behavior of brain,11.94
granisetron,11.94
alteplase,11.89
"Manipulation chest wall, such as cupping, percussing, and vibration to facilitate lung function; subsequent",11.83
"Electroencephalogram (EEG), continuous recording, physician or other qualified health care professional review of recorded events, analysis of spike and seizure detection, each increment of greater than 12 hours, up to 26 hours of EEG recording, interpretation and report after each 24-hour period; with video (VEEG)",11.80
"Health behavior intervention, individual, face-to-face; initial 30 minutes",11.77
Platelet morphology finding [Identifier] in Blood,11.76
Finding related to ability to move,11.69
"Gestation period, 8 weeks",11.69
Cerebral edema,11.69
"Replacement of gastrostomy tube, percutaneous, includes removal, when performed, without imaging or endoscopic guidance; not requiring revision of gastrostomy tract",11.69
Influenza virus A RNA [Presence] in Specimen by NAA with probe detection,11.69
docusate sodium 10 MG/ML Oral Solution,11.63
lidocaine 0.05 MG/MG Medicated Patch,11.63
Secondary thrombocytopenia,11.60
Delirium,11.55
vancomycin 1000 MG Injection,11.55
Pancytopenia,11.46
"Gestation period, 34 weeks",11.45
"Measurement of Cardiac Sampling and Pressure, Bilateral, Percutaneous Approach",11.43
"Chemotherapy administration, into CNS (eg, intrathecal), requiring and including spinal puncture",11.41
Mycosis,11.41
"Change of gastrostomy tube, percutaneous, without imaging or endoscopic guidance",11.41
Hyaline casts [#/area] in Urine sediment by Automated count,11.40
Phosphate [Moles/volume] in Specimen,11.40
Immunosuppression,11.34
"Manipulation chest wall, such as cupping, percussing, and vibration to facilitate lung function; initial demonstration and/or evaluation",11.34
"Transfusion of Nonautologous Platelets into Peripheral Vein, Percutaneous Approach",11.28
CD3 cells/100 cells in Specimen,11.26
1 ML diphenhydramine hydrochloride 50 MG/ML Prefilled Syringe,11.25
Lipoprotein lipase [Enzymatic activity/volume] in Serum or Plasma,11.25
"Mixed conductive and sensorineural hearing loss, bilateral",11.23
